STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10118,3,1,12,21,9999,77
1,10118,4,1,55,67,5555,55
1,10118,5,1,12,21,9999,77
1,10118,6,1,12,8,9999,77
1,10119,1,1,55,63,5555,55
1,10119,2,1,55,69,5555,55
1,10119,3,1,55,68,5555,55
1,10119,4,1,55,64,5555,55
1,10119,5,1,4,42,9999,77
1,10120,1,1,55,68,5555,55
1,10120,2,1,55,68,5555,55
1,10120,3,1,55,63,5555,55
1,10120,4,1,8,42,9999,77
1,10120,5,1,6,42,9999,77
1,10120,6,1,0,2,9999,77
1,10121,1,2,12,12,1,1
1,10122,1,1,55,63,5555,55
1,10122,2,1,12,33,9999,77
1,10122,3,1,0,1,9999,77
1,10123,1,1,55,68,5555,55
1,10123,2,1,12,12,2,12
1,10123,3,2,55,63,5555,55
1,10123,4,2,0,2,9999,77
1,10124,1,1,55,68,5555,55
1,10124,2,1,55,64,5555,55
1,10124,3,1,0,1,9999,77
1,10124,4,1,9,42,9999,77
1,10125,1,1,55,68,5555,55
1,10125,2,1,55,63,5555,55
1,10125,3,1,12,42,9999,77
1,10125,4,1,0,2,9999,77
1,10126,1,1,55,68,5555,55
1,10126,2,1,55,64,5555,55
1,10126,3,1,11,34,9999,77
1,10126,4,1,0,1,9999,77
1,10127,1,1,55,64,5555,55
1,10127,2,1,55,65,5555,55
1,10127,3,1,55,64,5555,55
1,10127,4,1,12,59,9999,77
1,10127,5,1,98,34,9999,77
1,10128,1,2,12,12,1,12
1,10129,1,1,55,68,5555,55
1,10129,2,1,12,12,2,12
1,10130,1,1,55,68,5555,55
1,10130,2,1,12,12,2,12
1,10131,1,1,12,8,9999,77
1,10132,1,1,55,63,5555,55
1,10132,2,1,12,59,9999,77
1,10132,3,2,12,12,1,8
1,10132,4,1,55,63,5555,55
1,10132,5,1,12,17,9999,77
1,10133,1,1,55,63,5555,55
1,10133,2,1,55,69,5555,55
1,10133,3,1,55,68,5555,55
1,10133,4,1,55,64,5555,55
1,10133,5,1,1,42,9999,77
1,10133,6,1,0,1,9999,77
1,10134,1,2,12,12,1,98
1,10134,2,2,98,8,9999,77
1,10134,3,2,98,8,9999,77
1,10135,1,1,11,8,9999,77
1,10136,1,1,55,68,5555,55
1,10136,2,1,55,64,5555,55
1,10136,3,1,12,32,9999,77
1,10136,4,1,55,67,5555,55
1,10136,5,1,12,58,9999,77
1,10136,6,1,0,1,9999,77
1,10137,1,1,55,68,5555,55
1,10137,2,1,55,64,5555,55
1,10137,3,1,12,42,9999,77
1,10137,4,1,0,2,9999,77
1,10138,1,1,12,8,9999,77
1,10139,1,1,55,68,5555,55
1,10139,2,1,55,64,5555,55
1,10139,3,1,55,69,5555,55
1,10139,4,1,55,68,5555,55
1,10139,5,1,55,63,5555,55
1,10139,6,1,0,1,9999,77
1,10140,1,1,55,63,5555,55
1,10140,2,1,0,1,9999,77
1,10140,3,1,13,30,9999,77
1,10140,4,1,98,42,9999,77
1,10141,1,1,55,63,5555,55
1,10141,2,1,98,30,9999,77
1,10142,1,1,12,8,9999,77
1,10142,2,1,11,12,2,1
1,10142,3,1,55,63,5555,55
1,10142,4,1,12,30,9999,77
1,10142,5,1,0,1,9999,77
1,10143,1,1,12,8,9999,77
1,10144,1,1,55,63,5555,55
1,10144,2,1,55,69,5555,55
1,10144,3,1,55,68,5555,55
1,10144,4,1,12,12,2,10
1,10144,5,1,0,1,9999,77
1,10145,1,1,55,68,5555,55
1,10145,2,1,12,12,2,12
1,10146,1,1,12,12,2,6
1,10146,2,2,98,12,3,6
1,10146,3,1,12,12,4,6
1,10147,1,1,55,63,5555,55
1,10147,2,1,12,8,9999,77
1,10147,3,1,12,8,9999,77
1,10148,1,1,55,63,5555,55
1,10148,2,1,12,42,9999,77
1,10148,3,1,0,1,9999,77
1,10149,1,1,55,63,5555,55
1,10149,2,1,55,69,5555,55
1,10149,3,1,55,63,5555,55
1,10149,4,1,0,1,9999,77
1,10150,1,1,55,68,5555,55
1,10150,2,1,12,12,2,12
1,10151,1,1,55,68,5555,55
1,10151,2,1,55,64,5555,55
1,10151,3,1,12,42,9999,77
1,10151,4,1,0,2,9999,77
1,10152,1,1,12,8,9999,77
1,10153,1,2,12,12,1,5
1,10154,1,1,55,64,5555,55
1,10154,2,1,55,69,5555,55
1,10154,3,1,55,63,5555,55
1,10154,4,1,2,42,9999,77
1,10154,5,1,0,1,9999,77
1,10155,1,1,55,68,5555,55
1,10155,2,1,55,64,5555,55
1,10155,3,1,0,1,9999,77
1,10155,4,1,0,3,9999,77
1,10156,1,1,55,68,5555,55
1,10156,2,1,55,64,5555,55
1,10156,3,1,10,42,9999,77
1,10156,4,1,63,42,9999,77
1,10156,5,1,0,1,9999,77
1,10157,1,1,12,8,9999,77
1,10158,1,1,55,68,5555,55
1,10158,2,1,12,12,2,12
1,10159,1,1,12,8,9999,77
1,10160,1,1,1,8,9999,77
1,10161,1,1,55,64,5555,55
1,10161,2,1,11,14,2,7
1,10161,3,1,98,18,9999,77
1,10161,4,1,98,19,9999,77
1,10161,5,1,6,14,2,6
1,10162,1,1,55,68,5555,55
1,10162,2,1,12,12,2,12
1,10162,3,2,55,63,5555,55
1,10162,4,2,0,1,9999,77
1,10162,5,1,55,63,5555,55
1,10162,6,1,6,42,9999,77
1,10163,1,1,55,63,5555,55
1,10163,2,1,12,24,9999,77
1,10163,3,1,19,24,9999,77
1,10164,1,2,12,12,1,11
1,10165,1,1,12,8,9999,77
1,10167,1,2,12,12,1,9
1,10167,2,2,0,1,9999,77
1,10168,1,2,12,12,1,10
1,10169,1,1,55,64,5555,55
1,10169,2,1,55,69,5555,55
1,10169,3,1,55,63,5555,55
1,10169,4,1,10,42,9999,77
1,10170,1,1,12,12,2,3
1,10170,2,3,12,12,2,9
1,10170,3,2,0,1,9999,77
1,10170,4,1,0,2,9999,77
1,10170,5,2,0,2,9999,77
1,10170,6,3,0,2,9999,77
1,10171,1,1,55,68,5555,55
1,10171,2,1,55,68,5555,55
1,10171,3,1,55,63,5555,55
1,10171,4,1,0,1,9999,77
1,10171,5,1,9,34,9999,77
1,10172,1,1,55,68,5555,55
1,10172,2,1,55,64,5555,55
1,10172,3,1,12,32,9999,77
1,10172,4,1,55,67,5555,55
1,10172,5,1,6,34,9999,77
1,10172,6,1,0,1,9999,77
1,10173,1,1,55,68,5555,55
1,10173,2,1,55,64,5555,55
1,10173,3,1,7,59,9999,77
1,10173,4,1,55,69,5555,55
1,10173,5,1,55,68,5555,55
1,10173,6,1,55,63,5555,55
1,10173,7,1,0,1,9999,77
1,10173,8,1,98,38,9999,77
1,10174,1,1,55,68,5555,55
1,10174,2,1,55,64,5555,55
1,10174,3,1,1,32,9999,77
1,10174,4,1,0,1,9999,77
1,10175,1,1,55,68,5555,55
1,10175,2,1,12,12,2,12
1,10175,3,1,55,64,5555,55
1,10175,4,1,0,1,9999,77
1,10176,1,1,55,68,5555,55
1,10176,2,1,55,64,5555,55
1,10176,3,1,12,14,2,12
1,10176,4,1,6,14,3,11
1,10176,5,1,19,19,9999,77
1,10177,1,2,12,12,1,10
1,10177,2,1,55,63,5555,55
1,10177,3,1,0,1,9999,77
1,10178,1,2,55,68,5555,55
1,10178,2,2,55,68,5555,55
1,10178,3,1,55,68,5555,55
1,10178,4,1,12,12,2,12
1,10179,1,1,55,63,5555,55
1,10179,2,1,55,69,5555,55
1,10179,3,1,3,8,9999,77
1,10180,1,2,12,12,1,3
1,10181,1,1,55,63,5555,55
1,10181,2,1,55,69,5555,55
1,10181,3,1,55,68,5555,55
1,10181,4,2,12,12,1,3
1,10182,1,2,12,12,1,7
1,10183,1,1,55,63,5555,55
1,10183,2,1,12,35,9999,77
1,10184,1,1,55,63,5555,55
1,10184,2,1,2,30,9999,77
1,10184,3,1,12,42,9999,77
1,10184,4,1,98,42,9999,77
1,10184,5,1,0,2,9999,77
1,10185,1,1,55,63,5555,55
1,10185,2,1,12,35,9999,77
1,10185,3,1,55,67,5555,55
1,10185,4,1,12,42,9999,77
1,10186,1,1,3,12,2,10
1,10186,2,2,55,63,5555,55
1,10186,3,2,98,35,9999,77
1,10186,4,2,0,1,9999,77
1,10187,1,1,12,12,2,12
1,10187,2,1,12,12,2,12
1,10188,1,1,55,64,5555,55
1,10188,2,1,55,69,5555,55
1,10188,3,1,55,63,5555,55
1,10188,4,1,0,1,9999,77
1,10188,5,1,13,42,9999,77
1,10189,1,1,55,61,5555,55
1,10189,2,1,55,64,5555,55
1,10189,3,1,0,1,9999,77
1,10190,1,1,12,12,2,12
1,10190,2,3,55,63,5555,55
1,10190,3,1,55,64,5555,55
1,10190,4,1,6,12,3,8
1,10191,1,1,12,8,9999,77
1,10192,1,1,55,68,5555,55
1,10192,2,1,55,64,5555,55
1,10192,3,1,12,39,9999,77
1,10193,1,1,55,63,5555,55
1,10193,2,1,1,35,9999,77
1,10193,3,1,0,1,9999,77
1,10194,1,1,55,63,5555,55
1,10194,2,1,12,59,9999,77
1,10194,3,1,55,69,5555,55
1,10194,4,1,55,68,5555,55
1,10194,5,1,55,64,5555,55
1,10194,6,1,0,1,9999,77
1,10195,1,1,55,70,5555,55
1,10195,2,1,55,64,5555,55
1,10195,3,1,55,65,5555,55
1,10195,4,1,12,12,2,12
1,10195,5,3,98,12,2,98
1,10196,1,1,55,68,5555,55
1,10196,2,1,11,12,2,12
1,10196,3,1,55,68,5555,55
1,10196,4,1,55,63,5555,55
1,10196,5,1,0,1,9999,77
1,10197,1,1,55,63,5555,55
1,10197,2,1,12,43,9999,77
1,10197,3,1,12,42,9999,77
1,10197,4,1,0,1,9999,77
1,10197,5,1,13,42,9999,77
1,10198,1,1,55,68,5555,55
1,10198,2,1,12,12,2,12
1,10199,1,1,12,12,2,1
1,10199,2,2,62,12,3,11
1,10200,1,2,12,12,1,10
1,10201,1,1,55,68,5555,55
1,10201,2,1,55,64,5555,55
1,10201,3,1,7,59,9999,77
1,10201,4,1,55,69,5555,55
1,10201,5,1,55,68,5555,55
1,10201,6,1,55,63,5555,55
1,10201,7,1,12,42,9999,77
1,10201,8,1,0,1,9999,77
1,10202,1,1,55,60,5555,55
1,10202,2,1,55,63,5555,55
1,10202,3,1,0,1,9999,77
1,10202,4,1,0,72,9999,77
1,10203,1,1,55,68,5555,55
1,10203,2,1,55,64,5555,55
1,10203,3,1,55,69,5555,55
1,10203,4,1,12,12,2,12
1,10204,1,1,12,12,2,12
1,10205,1,2,12,12,1,2
1,10205,2,1,55,68,5555,55
1,10205,3,1,55,64,5555,55
1,10205,4,1,12,33,9999,77
1,10205,5,1,0,1,9999,77
1,10205,6,2,12,12,3,12
1,10206,1,1,55,68,5555,55
1,10206,2,1,55,64,5555,55
1,10206,3,1,12,38,9999,77
1,10206,4,1,61,42,9999,77
1,10206,5,1,61,42,9999,77
1,10207,1,1,55,68,5555,55
1,10207,2,1,55,64,5555,55
1,10207,3,1,55,67,5555,55
1,10207,4,1,9,42,9999,77
1,10208,1,1,12,8,9999,77
1,10209,1,1,55,63,5555,55
1,10209,2,1,55,69,5555,55
1,10209,3,1,55,68,5555,55
1,10209,4,1,55,64,5555,55
1,10209,5,1,12,34,9999,77
1,10209,6,1,98,42,9999,77
1,10209,7,1,61,42,9999,77
1,10209,8,1,12,42,9999,77
1,10210,1,1,55,64,5555,55
1,10210,2,1,55,65,5555,55
1,10210,3,1,0,1,9999,77
1,10210,4,2,12,12,1,7
1,10210,5,3,12,12,2,11
1,10210,6,2,55,63,5555,55
1,10210,7,2,0,1,9999,77
1,10210,8,4,12,12,1,10
1,10211,1,2,12,12,1,11
1,10211,2,2,55,68,5555,55
1,10211,3,2,55,64,5555,55
1,10211,4,2,12,35,9999,77
1,10212,1,1,55,64,5555,55
1,10212,2,1,0,1,9999,77
1,10213,1,2,12,12,1,9
1,10214,1,1,55,63,5555,55
1,10214,2,1,0,1,9999,77
1,10214,3,1,10,42,9999,77
1,10215,1,1,55,68,5555,55
1,10215,2,1,55,64,5555,55
1,10215,3,1,12,59,9999,77
1,10215,4,1,10,42,9999,77
1,10216,1,1,55,63,5555,55
1,10216,2,1,10,34,9999,77
1,10216,3,1,10,42,9999,77
1,10217,1,1,55,68,5555,55
1,10217,2,1,12,12,2,12
1,10218,1,1,55,63,5555,55
1,10218,2,1,55,63,5555,55
1,10218,3,1,12,42,9999,77
1,10219,1,1,55,68,5555,55
1,10219,2,1,12,12,2,12
1,10220,1,1,55,68,5555,55
1,10220,2,1,12,12,2,12
1,10221,1,1,12,8,9999,77
1,10222,1,1,55,68,5555,55
1,10222,2,1,12,12,2,12
1,10222,3,3,12,12,1,98
1,10223,1,1,55,63,5555,55
1,10223,2,1,1,24,9999,77
1,10224,1,1,55,68,5555,55
1,10224,2,1,55,64,5555,55
1,10224,3,1,0,1,9999,77
1,10224,4,1,14,42,9999,77
1,10224,5,1,0,3,9999,77
1,10225,1,1,55,63,5555,55
1,10225,2,1,55,69,5555,55
1,10225,3,1,55,68,5555,55
1,10225,4,1,55,64,5555,55
1,10225,5,1,12,42,9999,77
1,10226,1,1,99,8,9999,77
1,10227,1,1,55,64,5555,55
1,10227,2,1,12,32,9999,77
1,10227,3,1,55,67,5555,55
