STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP
4,40059,0,1,5,25,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40060,0,1,5,57,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40062,0,1,5,19,1,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
4,40063,0,1,5,24,1,0,1,0,160,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40064,0,1,5,53,1,0,1,0,410,0,3,7,5,7,8,7,8,8,8,8,400,0
4,40067,0,1,5,40,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40068,0,1,5,27,1,0,1,0,440,0,3,7,3,7,8,7,8,8,8,8,400,0
4,40070,0,1,5,63,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40073,0,1,5,21,2,0,0,0,440,0,3,7,3,7,8,7,8,8,8,8,400,0
4,40074,0,1,8,14,2,0,1,0,250,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40075,0,1,5,63,1,1,1,0,760,0,1,7,2,7,3,7,4,3,2,3b,750,0
4,40077,0,1,5,35,1,1,1,0,760,0,1,7,2,7,9,7,3,3,9,99,750,0
4,40084,0,1,5,29,2,1,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40088,0,1,5,39,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40093,0,1,5,28,2,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
4,40097,0,1,8,32,1,0,1,0,760,0,1,7,2,7,4,7,1,3,2,3b,750,0
4,40099,0,1,5,37,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
4,40103,0,1,5,48,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40105,0,1,5,7,1,1,1,0,742,0,1,7,2,7,3,7,2,3,1,1a,740,0
4,40107,0,1,5,50,1,0,0,0,230,0,1,7,9,7,9,7,3,3,9,99,100,0
4,40111,0,1,5,85,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40114,0,1,5,31,1,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0
4,40117,0,1,5,21,1,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0
4,40121,0,1,5,60,1,1,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40122,0,1,5,26,2,0,9,0,900,0,9,7,9,7,8,7,8,8,8,8,990,0
4,40124,0,1,5,54,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40125,0,1,5,71,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40126,0,1,5,65,1,0,1,0,760,0,2,7,3,7,4,7,3,3,2,4a,750,0
4,40128,0,1,5,56,1,9,9,0,900,0,9,7,9,7,8,7,8,8,8,8,990,0
4,40133,0,1,5,58,1,1,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40137,0,1,5,83,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40138,0,1,5,50,1,1,1,0,760,0,1,7,2,7,9,7,2,3,9,99,750,0
4,40139,0,1,5,57,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40148,0,1,8,26,1,0,1,0,250,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40149,0,1,5,26,1,1,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40161,0,1,5,74,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40163,0,1,5,23,1,0,1,0,741,0,1,7,1,7,1,7,4,3,1,2a,740,0
4,40167,0,1,5,42,1,1,1,0,760,0,2,7,3,7,2,7,1,3,2,4a,750,0
4,40168,0,1,5,19,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40173,0,1,5,64,1,0,1,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40178,0,1,5,20,2,1,1,0,770,0,3,7,2,7,8,7,8,8,8,8,750,0
4,40188,0,1,5,49,2,9,9,0,900,0,9,7,9,7,8,7,8,8,8,8,990,0
4,40192,0,1,5,999,9,0,1,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40196,0,1,5,52,1,0,1,0,770,0,1,7,2,7,2,7,1,3,2,3a,750,0
4,40200,0,1,5,44,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40201,0,1,5,49,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40205,0,1,5,998,2,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
4,40206,0,1,5,53,1,1,1,0,770,0,1,7,2,7,2,7,1,3,1,1a,750,0
4,40207,0,1,8,21,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40210,0,1,5,88,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40213,0,1,5,53,1,0,1,0,760,0,2,7,3,7,2,7,1,3,2,4a,750,0
4,40220,0,1,5,40,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
